ID	ZT00	ZT00	ZT00	ZT00	ZT00	ZT04	ZT04	ZT04	ZT04	ZT04	ZT08	ZT08	ZT08	ZT08	ZT08	ZT12	ZT12	ZT12	ZT12	ZT12	ZT16	ZT16	ZT16	ZT16	ZT16	ZT20	ZT20	ZT20	ZT20	ZT20
OT_ostta05g02450	39561.55804	43817.32469	36358.50655	31699.29851	25217.51348	20869.84591	29516.69987	40520.53938	26721.098	8236.528003	11187.92753	24194.64094	15461.54182	33603.22286	17018.59454	20354.90699	24202.38728	28291.51811	31856.3446	30724.30397	29222.68185	23608.13408	8703.868254	21990.3157	46967.32805	30668.06545	23721.59737	20215.27388	27848.63292	5095.858522
OT_ostta03g00770	98482.78809	104158.7793	61107.75648	78627.05526	89463.53782	127683.3395	108698.2047	117897.3867	115794.1169	32134.329	92237.88949	87384.94293	66422.50015	83942.46767	91693.2038	94189.37647	82425.33655	109716.8687	82690.31008	96204.49258	56363.73758	71153.77424	78067.37166	69152.23972	79454.29338	86417.75792	79754.19343	89752.94934	79657.64285	71129.76661
OT_ostta11g03210	111174.6806	127841.0418	119931.5651	112576.0577	98561.68873	120765.0681	128887.493	145565.397	140429.7881	60804.96103	149562.8239	124653.256	122307.1759	120707.4059	104613.5312	116670.7887	150981.0868	169138.0907	135298.1784	115797.875	117700.7794	112571.6539	127765.3092	133075.3008	122874.1513	120681.8999	124082.188	138963.4725	155279.8198	127248.8006
OT_ostta15g01350	606900.6085	637104.2267	723888.7947	557281.9603	639831.0318	583369.9059	666804.1253	748940.249	680857.1235	240100.0883	790207.4938	714250.5204	750737.3752	590932.5846	703075.8664	654757.7798	755900.252	804521.7325	831019.2334	693102.4749	736197.1245	634440.8838	733854.4569	751082.8464	594253.9365	756615.3038	760633.1369	803413.9955	839090.5753	614470.9075
OT_ostta08g02960	2517038.502	2506546.615	2138498.455	2045246.432	2585850.212	2216186.471	2499082.137	2756652.464	2539429.422	1366613.868	2829666.926	2660281.941	2744217.094	2037277.163	2273786.37	2639562.998	2707935.001	2865371.411	2796961.765	2481557.462	2454724.432	2454177.412	2967325.178	2999099.784	2440462.835	2685613.779	2808395.319	2634463.638	2767520.053	2237269.175
OT_ostta20g00410	53330.70775	57070.76667	44614.92145	58709.02927	59681.23685	43297.03824	63959.85647	55832.96712	42005.93536	22114.45093	40671.24172	48568.3128	49977.30234	48757.96468	50418.25008	57513.80619	62074.22974	55018.36185	68876.29439	56993.1703	48266.45951	38968.58692	50667.36885	42018.91304	52658.29639	50145.64833	53637.53567	46914.68935	66408.01511	56318.56304
OT_ostta04g04420	418029.6192	513118.626	533788.9654	573196.7272	512742.8294	542629.616	547490.9908	541759.8641	557200.0591	189778.7857	522445.3765	485441.9458	535140.4622	534973.1323	518777.6052	462943.0827	586432.8346	552222.9771	593971.8963	540064.208	424452.19	373545.4882	543669.3903	603872.4233	522450.4732	488569.4068	465535.4347	600864.7977	649590.7839	381935.901
OT_ostta13g00050	239475.0987	312107.2945	263267.0601	234541.4897	298566.1091	259889.0389	272900.2588	293257.5045	256327.7963	87284.17529	277595.4814	269280.7616	227742.157	244725.9558	239120.0293	228510.8266	342077.2772	284406.743	353034.733	262023.6907	258381.6936	249069.2464	278534.2464	294661.5552	248436.5711	292530.0897	282172.6615	258552.5215	319790.8827	237686.3553
OT_ostta08g03550	229840.3704	251557.5888	216520.1438	216550.2952	253933.8004	219747.5772	287361.4207	278501.9804	210086.446	48303.67981	195826.6572	184745.4796	172285.1951	181844.6913	182059.9079	204044.3646	234418.1525	208787.1009	246558.4945	211678.7067	190160.1002	203634.6257	223223.2329	218764.7175	168686.8228	258695.8508	233900.2563	214936.6781	243790.4336	204106.9888
OT_ostta04g00070	363065.4972	498688.7234	420497.4187	437304.677	459868.8223	421329.8475	437885.9223	555451.3806	393450.8585	18650.30571	299653.3892	368295.6305	319893.8958	337217.979	277152.2991	237555.1818	507127.6594	330995.0103	486041.3048	449908.5143	323163.4279	341737.698	363717.1962	390973.94	359163.0742	397317.6483	387973.829	321562.7447	582930.7384	342024.5034
OT_ostta06g04170	30771.22384	35378.42923	26410.26125	33899.7093	39161.53468	45143.29816	70881.9912	51443.3019	42336.28259	2289.129612	45210.20592	59655.1156	37790.95259	42332.4596	43149.82421	33537.50232	61455.79637	56334.45597	76525.30734	55997.8599	29004.78123	33234.0681	40010.90159	42797.51155	33853.79258	36098.67204	30802.39911	33816.4096	48261.02048	30115.67149
OT_ostta09g01370	138034.426	134501.6607	97514.98163	82130.98972	134069.7965	86909.4389	147802.3155	108387.8498	101635.0365	8524.681222	152426.8776	126498.3244	122868.9885	101387.2738	99107.03724	125363.607	148043.2828	124917.463	151625.9983	139559.6018	132221.9138	142622.3496	96605.4566	103299.7394	101444.7164	142995.5834	166850.0371	123327.5604	141481.3887	63201.56331
OT_ostta06g04060	153016.1643	171524.8722	155382.5569	132597.1315	162363.3424	131867.4445	210729.5896	172037.5296	179150.2825	14773.576	169431.4614	143290.8143	173549.365	134393.7772	123501.5581	152214.6068	178216.0918	189038.6336	217918.4487	163245.7516	147679.8766	161163.6145	180885.8841	167143.7637	145491.6909	164575.0144	149011.1924	175292.3539	164242.8124	81007.75068
PsaB	12978891.58	17099274.08	13636638.59	12965902.75	15064099.29	12054946.9	15628804.74	12150459.26	13023212.75	6080518.643	11384057.06	14486742.63	13429507.73	13418227.95	12154650.7	12242867.71	16442480.32	12598902.64	15755953.04	13489537.5	11655630.79	11183975.91	9802509.016	11562839.16	12214438.96	12607131.03	13729225.52	11698109.74	18370145.69	9790154.56
OT_ostta20g00110	668064.6141	728325.3975	519276.5273	576206.2487	385532.2524	374233.6671	458967.8588	574691.6288	394302.023	85191.14617	370858.7324	544354.9943	389459.5945	425412.9263	382607.6993	311015.7723	574796.5218	281054.4465	620432.4998	592996.7073	445110.9076	395359.9843	230292.8658	233259.3294	475048.3171	571942.0315	402050.8028	334698.5735	754500.0605	192573.732
OT_ostta03g01670	118107.3785	163924.6676	105152.3326	107534.969	96635.87552	93935.89603	134202.7357	165870.1827	96162.52931	11856.5454	80076.37778	105463.7283	80983.82364	98025.28049	78065.064	69618.24233	117579.4021	68694.88446	115920.726	107586.0457	103580.6818	84678.55711	49457.94088	74932.46453	120937.2792	114046.0534	101617.5801	80855.27857	122355.4469	36429.87682
OT_ostta09g04370	363095.1848	419641.2223	286824.7695	299717.4882	366350.3189	314293.1338	380964.5115	325839.4142	266608.769	153601.3043	281732.213	426527.9167	358700.7158	332885.7131	227522.8894	350026.0047	577730.6715	390261.9492	277545.5804	328507.6785	357433.6318	357492.7476	307549.5163	319705.466	301284.3011	315080.0912	382679.6723	297322.7172	436232.4418	211084.1981
OT_ostta03g05410	1139959.944	1275627.262	1157384.654	995506.6859	1192993.694	1510449.753	1763220.028	1482422.51	1387432.835	470979.508	1634044.016	1638781.391	1567641.94	1287073.22	1292839.594	1341231.93	1550892.076	1390707.586	1317041.084	1073378.706	1308328.452	1206618.154	1289823.135	1335186.067	1133295.945	1139025.493	1480533.063	1229053.713	1447420.439	1015285.159
OT_ostta15g02325	112487.5999	134205.9043	97697.29592	72378.40053	104678.8498	152741.1855	196291.3107	84482.55198	109124.6445	20198.20025	119621.55	77127.5776	101787.8632	80884.79779	78382.65565	160737.1861	164081.4568	92532.01302	104224.5881	87587.16058	85234.92845	116894.8442	63889.1001	60493.4884	68571.32624	88608.78948	122991.5159	70061.04007	118247.4777	62753.94685
OT_ostta14g02197	181905.7912	157021.1584	182841.093	176985.3389	151476.088	169554.8719	179958.1136	133581.2246	167504.5868	39920.66184	170165.9258	110777.0777	143594.3166	102177.7996	140142.6374	86923.74569	168927.0407	50305.80932	210437.7697	166935.1139	144497.465	126530.2669	154533.5957	124199.4817	119119.3554	156712.9309	176057.3292	189527.8648	209677.2855	140610.581
OT_ostta01g02760	1176279.437	1069330.582	952017.1337	1148903.703	1067757.473	854712.1538	825111.65	1005696.854	844341.6803	192043.5277	853209.2667	677124.0741	821255.5535	598134.7366	663335.4379	514051.9683	1163633.111	510445.8781	1251038.78	1181704.333	839150.863	707158.6158	866989.1873	924978.1928	823868.1876	1060591.174	1158761.409	987577.5587	1215700.208	751895.7162
OT_ostta16g00090	255151.4465	179397.5032	254273.5068	231665.8257	217431.1725	218136.6883	201946.377	201126.0366	176467.3528	40202.38735	216607.7027	139715.1952	172171.1807	135962.8158	161422.3946	122946.6859	190977.2503	134945.4661	246034.6968	214614.1926	126059.2522	183276.1228	212821.0739	186383.1935	181844.7891	172878.5073	182443.7884	271291.9399	229217.1358	146165.1029
OT_ostta01g03420	5427419.897	5736860.14	6043286.758	5707350.443	5545339.837	5724170.256	6300517.534	6742371.097	5726975.615	3679962.177	5106882.147	5666076.648	5977598.113	5171109.411	5199959.768	5404215.4	6028606.244	5115003.619	5840584.773	5555460.587	6152526.376	5601969.916	6393346.871	5723093.625	4906297.128	6338323.396	6357284.926	6481741.805	6826741.363	5035359.569
OT_ostta08g01650	616161.5604	675847.5028	769514.2325	671022.4972	584797.758	586075.1776	637182.5615	940623.7216	675150.9146	306416.9548	625962.3522	464382.0561	634455.7408	511200.0305	468356.5498	437421.8868	555972.8684	488633.0008	662173.104	718052.0115	626301.749	660418.862	639950.8538	652998.8433	566764.0377	576769.9944	578608.6019	693103.8578	1028803.028	634173.7897
