MGI.ID	pval.protein	pval.mRNA
MGI:1352493	0.268627997	7.81e-05
MGI:1917619	0.473115481	0.008232739
MGI:2137336	0.050032054	0.001195207
MGI:1914148	0.064830502	8.87e-08
MGI:1346330	0.129804327	0.04299922
MGI:1917600	0.334139938	0.062512568
MGI:1891372	0.796183842	2.35e-07
MGI:101917	0.936886977	0.193243973
MGI:1350933	0.019161627	0.009787506
MGI:108091	0.103919039	6.33e-05
MGI:1352501	0.202081907	0.001189966
MGI:1915433	0.673395463	0.235762647
MGI:2385848	0.035698878	0.002603927
MGI:1913415	0.120215531	4.75e-05
MGI:894278	0.088911989	0.000143043
MGI:107701	0.1935245	1.2e-07
MGI:88137	0.727451168	1.23e-05
MGI:1276121	0.193272407	0.130106467
MGI:2136959	0.648718462	0.015576734
MGI:1917580	0.012883191	4.36e-07
MGI:2177469	0.161618319	2.11e-05
MGI:88141	0.902146874	0.076830871
MGI:1914071	0.670379533	0.047401095
MGI:1919161	0.358663099	4e-09
MGI:1891828	0.221356576	0.003656509
MGI:1343104	0.041058752	0.000572395
MGI:88158	0.234912831	0.383662771
MGI:1339972	0.110100503	0.002673739
MGI:1888909	0.303885632	0.002673739
MGI:1924145	0.252838144	0.049951151
MGI:108093	0.90759139	0.041106146
MGI:108092	0.911114935	0.306289251
MGI:1929883	0.655579147	0.518498202
MGI:1276108	0.112316303	0.000404516
MGI:1345186	0.910432721	0.01086828
MGI:88170	0.96562615	0.047884129
MGI:2385271	0.679066774	0.000281259
MGI:109328	0.770604079	0.15509724
MGI:1916418	0.344700855	0.053498888
MGI:1913412	0.629081185	1.04e-06
MGI:1925903	0.348543953	0.031971918
MGI:1098242	0.021768593	0.170894394
MGI:1915271	0.48320564	0.000217246
MGI:1338800	0.219578039	0.016701546
MGI:88190	0.107015669	0.002376144
MGI:1919649	0.295419131	2.91e-07
MGI:2389572	0.367433819	0.020137723
MGI:1888520	0.055519835	0.005521164
MGI:1924059	0.171439384	0.001558931
MGI:1915082	0.670849101	0.000558299
MGI:1915406	0.812711059	0.304282616
MGI:1918928	0.899506335	0.006241882
MGI:1913466	0.631683828	0.000904458
MGI:88208	0.420923242	0.022109425
MGI:1347001	0.042909546	0.008148217
MGI:1202875	0.422791155	0.02829958
MGI:1915312	0.07949954	5.94e-06
MGI:1343463	0.45481779	0.024650305
MGI:1914132	0.891401511	0.00147951
MGI:1914162	0.54161976	0.000937405
MGI:1913493	0.055754072	0.696752319
MGI:88223	0.26390859	0.000152253
MGI:1194505	0.613076252	0.001480857
MGI:88225	0.251871645	0.00045002
MGI:1891883	0.318984257	0.020078372
MGI:1919014	0.283385112	0.029667359
MGI:88227	0.004705566	0.15103037
MGI:88228	0.695754484	0.008256427
MGI:88233	0.231713547	0.000755442
MGI:2668347	0.99602856	0.004757283
MGI:88236	0.379157321	0.075656696
MGI:88237	0.310244564	0.000542814
MGI:1098282	0.122393372	0.000234839
MGI:107438	0.087277799	0.000112502
MGI:1914081	0.469603269	0.093918955
MGI:1270839	0.018330261	0.000825135
MGI:1916969	0.270112417	0.001273054
MGI:1926944	0.759111285	0.090940501
MGI:88250	0.507165923	1.73e-05
MGI:88251	0.613656864	0.000502443
MGI:88252	0.12885918	3.66e-07
MGI:1097158	0.490262997	0.493308333
MGI:88257	0.835827432	0.821188148
MGI:88259	0.931778882	0.001727073
MGI:1261820	0.191496171	0.031864942
MGI:88261	0.096262335	0.001744829
MGI:88262	0.875968441	0.191990366
MGI:1098259	0.258877261	0.033378324
MGI:88263	0.384930047	0.052894904
MGI:88264	0.569439786	6.23e-05
MGI:88266	0.57244903	0.028511953
MGI:1858234	0.096112007	2.32e-09
MGI:106227	0.68097422	0.007305669
MGI:106222	0.327711462	0.052529538
MGI:104652	0.5039292	0.001232522
MGI:3032959	0.41150903	0.002850801
MGI:1196368	0.817369978	7.36e-08
MGI:1913208	0.961187802	0.24656766
MGI:1351477	0.213747026	0.009212318
MGI:1919191	0.074200811	0.0028245
MGI:1309489	0.450467102	0.001434448
MGI:2157062	0.941241861	0.003897409
MGI:96544	0.819957205	0.004402016
MGI:107739	0.587065049	0.068255562
MGI:1312921	0.450723278	1.81e-10
MGI:109383	0.232414665	0.006110752
MGI:1261423	0.921432191	0.958317542
MGI:1098236	0.144561025	1.72e-05
MGI:88271	0.236585909	0.159778447
MGI:99851	0.521243075	0.001968064
MGI:88284	0.261321996	6.38e-05
MGI:1309992	0.758687238	0.007019282
MGI:2384567	0.014659652	1.27e-05
MGI:88285	0.011168619	7.18e-08
MGI:2385089	0.700790435	0.053698334
MGI:105369	0.899611289	0.125767513
MGI:108515	0.162259885	2.55e-08
MGI:109372	0.612744278	0.000555532
MGI:1914750	0.544935706	0.006718331
MGI:1916918	0.549993131	0.253388479
MGI:1923707	0.252971797	0.00579805
MGI:1859608	0.047361025	0.071126262
MGI:1914429	0.468788375	0.000332712
MGI:2443508	0.706786419	0.011657851
MGI:1914413	0.847506659	0.002624302
MGI:2146423	0.8838129	0.018922945
MGI:1923801	0.736475721	0.099775206
MGI:1921443	0.487102479	0.451451309
MGI:1913615	0.809502836	0.223543962
MGI:1918079	0.045344841	0.06622697
MGI:1276106	0.790746318	0.885523232
MGI:1328363	0.721019185	0.019197842
MGI:107186	0.680004874	0.001295283
MGI:104708	0.30693518	2.55e-05
MGI:104689	0.208625957	0.000674237
MGI:107185	0.110546267	4.22e-05
MGI:107943	0.410345437	0.07332442
MGI:107184	0.509796309	1.43e-06
MGI:107183	0.000465396	0.004461595
MGI:2141070	0.824730781	1.37e-07
MGI:1194924	0.869794984	0.01549226
MGI:1330281	0.532124135	0.033949211
MGI:1913455	0.007635384	0.003002572
MGI:107899	0.823242915	0.232342952
