ID	LD6.5	LD9.5	LD11.5	LD12.5	LD14.5	LD17.5	LD21.5	LD23.5	LD24.5	LD26.5	LD30.5	LD33.5	LD35.5	LD36.5	LD38.5	LD41.5	LD45.5	LD47.5	LD48.5	LD50.5
Q31S51	0.941022484	0.889405888	0.917064749	0.975214163	1.083926914	1.003459849	1.126678482	1.146304507	1.009485302	0.847227414	0.662826709	0.942757509	0.875991718	1.054872571	1.039202062	1.138151303	0.912010839	0.941239187	0.973867785	0.816770418
Q31S49	0.905315592	0.962720013	0.991744955	0.892894196	0.964717152	1.041597671	1.076465214	1.058034916	1.050509538	1.162786551	0.926189813	0.543375434	0.551315243	0.623304124	0.68992201	1.120469399	1.118149825	1.154781985	0.958076086	1.28943662
Q31S48	0.945148392	1.021880237	1.053901445	0.924272433	1.140775013	1.044960803	1.022586371	0.946237161	1.032285911	1.185495746	0.990603824	0.815079556	0.754918381	0.706968396	0.740798339	1.008323758	1.237656138	1.305569513	1.287952955	1.313106648
Q31S47	1.159845121	1.055601503	0.982200159	1.140249788	1.16815373	1.054629706	1.088178147	1.126159747	1.046887466	0.842752404	1.097994084	1.036334604	0.781807802	1.022115561	0.797810963	0.8830799	0.931536765	0.950604794	0.96783205	1.002305238
Q31S45	1.424295165	1.161716078	1.138937782	0.939939715	0.997240712	0.994489037	0.894746483	0.784332119	0.898048931	1.25025903	1.279675927	1.058034916	0.901986422	0.853493072	0.811895249	1.648541939	1.795146927	1.489361078	1.568555898	2.510151881
Q31S42	1.318863958	1.049542429	1.308277884	1.033951101	0.66206404	1.056574196	0.931751284	0.91159094	0.927256743	1.194263062	1.116863248	1.047128548	1.035142167	0.956973695	0.941672743	0.980844136	0.990375755	1.017653663	1.038245363	1.226874105
Q31S41	0.885727237	0.924698174	0.991973339	0.90740256	1.14709662	1.091440336	1.126937939	1.125122993	0.960727008	1.12176013	0.897635459	0.952138223	0.909703781	0.909913273	1.077457131	1.110708256	1.053173687	1.150005719	1.093704503	0.915377008
Q31S39	0.972971233	0.981521913	0.957634977	0.92939429	1.124604974	1.036096007	1.058034916	1.108153698	1.059253725	0.993802306	0.900948569	0.930250688	0.83004187	0.893099816	0.910122812	1.148418024	1.13057662	1.103316213	1.158243842	1.074236736
Q31S38	0.962941713	0.942540456	0.938209876	0.852511017	1.149476243	1.019999597	1.057060878	0.987415636	0.989464005	1.16091387	0.953674126	0.869961433	0.823948372	0.843917514	0.858618022	0.917698454	1.00855596	1.161448614	1.082430448	1.240794901
Q31S37	0.78777102	0.952138223	0.99655208	1.01648272	0.993116048	1.116863248	1.150270548	1.094208288	1.076713107	1.037767343	0.713838554	0.848594085	0.87096359	0.980844136	1.042317429	1.235662879	1.218428363	1.211713649	1.240223625	1.106114282
Q31S36	0.855657576	1.146040591	0.942974611	0.875185271	0.755788014	0.893305484	0.95873813	1.023528641	0.991288345	0.864967919	0.875185271	0.939723311	0.897842171	0.966495864	0.957414499	1.297179271	1.132139648	1.012744749	1.252564215	1.015079367
Q31S35	0.989691864	0.960727008	1.021880237	0.883893622	1.009485302	1.12176013	1.021174591	1.0167168	1.000921458	1.255162629	0.922359022	0.878415519	0.741651706	0.799834255	0.818653268	0.861192026	0.906567196	1.014845663	1.068808749	0.947763545
Q31S32	1.022586371	0.90302547	0.96738645	0.920873552	1.115064527	1.033237119	1.152391377	1.305268929	1.023528641	0.693585492	0.836758244	0.947109079	0.961612278	1.072753648	1.073494936	1.158510569	1.135533628	1.024000102	1.113012393	0.920661538
Q31S29	0.667421204	0.50234259	1.027306415	0.699197714	1.251699273	0.977912506	0.982426345	0.915587806	1.044479691	0.936267611	0.855263622	0.688176756	0.914113241	0.772680585	0.857432617	0.994718053	1.176792793	1.356438163	1.391553795	1.138937782
Q31S28	0.849571627	0.918332596	0.941239187	0.856446029	0.974989638	1.069547311	0.971180603	1.043998801	1.060962417	1.312199899	1.029674601	0.906775965	0.687543214	0.790496588	0.79579279	1.226591639	1.123569651	1.146304507	1.160112216	0.989691864
Q31S27	0.9525768	0.97543874	1.007395485	0.985144643	1.157710574	1.047369686	1.043998801	1.103316213	0.958517398	1.007395485	0.894334532	0.92789749	0.831955314	0.982652583	1.019999597	1.094460268	1.100271845	1.040399177	1.105095982	1.103316213
Q31S26	1.087176359	1.031098132	0.995176243	0.944930789	1.177334851	1.008091609	1.032523631	1.127457033	0.987415636	0.828705078	0.983558056	0.993344748	1.010880921	0.954992586	1.017888013	1.037050726	1.011113712	1.038006325	0.968723867	0.972971233
Q31S25	1.015079367	0.939939715	1.137889264	1.064633187	0.850746165	1.061695557	1.018825954	1.087677138	1.057304304	1.085675407	1.063408188	0.869961433	0.842752404	1.01601472	0.937777913	0.962276766	0.828514283	0.864370626	1.050751455	1.194813167
Q31S13	0.923421538	0.99884937	1.07944371	0.916642522	1.084426196	1.07944371	1.034665576	0.94558375	0.989919775	1.191516333	1.036573257	0.900533763	0.801124475	0.736207097	0.838880308	0.956312869	1.103316213	1.11532131	1.239081863	1.352072563
Q31S11	0.997470361	1.013677951	0.971851703	1.094208288	1.172465305	1.042557459	1.03086074	1.046405467	1.030623403	0.862184081	0.917064749	0.970063134	0.855066713	0.925337153	1.025179705	1.173545682	1.059009851	1.105095982	1.150270548	1.068562675
Q31S09	0.873574604	1.01227847	1.153187696	0.986961019	1.265318914	0.991516624	0.973867785	0.944278279	0.970063134	0.951042664	0.777499288	0.993116048	0.875386813	1.004153254	1.038006325	1.268819954	1.017888013	0.968054928	1.027306415	0.95873813
Q31S08	0.92939429	0.682338694	0.986279486	0.773748821	0.867960577	1.015313124	1.099258924	1.034665576	0.990831945	0.987188301	0.94145594	0.873976993	0.862382629	0.854476258	0.7760684	0.702748618	1.277614994	0.992430265	1.403459873	1.2846949
Q31S07	1.108664139	1.101032149	1.138151303	1.163322157	1.031098132	0.998159627	0.967609225	1.00716355	0.943843523	0.920025787	0.849180475	1.026360666	0.942540456	1.107898565	1.093452697	1.165467051	1.011346556	0.989008445	1.004153254	0.93218047
