Uniprot.Accession	Gene.name	Gene.Name..Synpcc7942.only.
Q31NC1	Synpcc7942_1418	Synpcc7942_1418
P46204	Synpcc7942_1424	Synpcc7942_1424
Q31NB2	Synpcc7942_1427	Synpcc7942_1427
Q57311	Synpcc7942_1429	Synpcc7942_1429
Q31NA9	Synpcc7942_1430	Synpcc7942_1430
Q31NA7	Synpcc7942_1432	Synpcc7942_1432
Q31NA5	Synpcc7942_1434	Synpcc7942_1434
Q31NA2	Synpcc7942_1437	Synpcc7942_1437
Q31N94	Synpcc7942_1445	Synpcc7942_1445
Q31N93	Synpcc7942_1446	Synpcc7942_1446
Q31N89	Synpcc7942_1450	Synpcc7942_1450
Q31N88	Synpcc7942_1451	Synpcc7942_1451
Q31N86	Synpcc7942_1453	Synpcc7942_1453
Q31N83	Synpcc7942_1456	Synpcc7942_1456
Q31N79	Synpcc7942_1460	Synpcc7942_1460
Q31N75	Synpcc7942_1464	Synpcc7942_1464
Q31N74	Synpcc7942_1465	Synpcc7942_1465
Q31N73	Synpcc7942_1466	Synpcc7942_1466
Q31N72	Synpcc7942_1467	Synpcc7942_1467
Q31N64	Synpcc7942_1475	Synpcc7942_1475
Q31N63	Synpcc7942_1476	Synpcc7942_1476
Q31N57	Synpcc7942_1482	Synpcc7942_1482
Q31N56	Synpcc7942_1483	Synpcc7942_1483
Q31N54	Synpcc7942_1485	Synpcc7942_1485
Q31N46	Synpcc7942_1493	Synpcc7942_1493
Q31N45	Synpcc7942_1494	Synpcc7942_1494
Q31N42	Synpcc7942_1497	Synpcc7942_1497
Q31N41	Synpcc7942_1498	Synpcc7942_1498
Q31N38	Synpcc7942_1501	Synpcc7942_1501
Q31N37	Synpcc7942_1502	Synpcc7942_1502
Q31N36	Synpcc7942_1503	Synpcc7942_1503
Q31N35	Synpcc7942_1504	Synpcc7942_1504
Q31N33	Synpcc7942_1506	Synpcc7942_1506
Q31N31	Synpcc7942_1508	Synpcc7942_1508
Q31N29	Synpcc7942_1510	Synpcc7942_1510
Q31N28	Synpcc7942_1511	Synpcc7942_1511
Q31N25	Synpcc7942_1514	Synpcc7942_1514
Q31N24	Synpcc7942_1515	Synpcc7942_1515
Q31N23	Synpcc7942_1516	Synpcc7942_1516
Q31N22	Synpcc7942_1517	Synpcc7942_1517
Q31N18	Synpcc7942_1521	Synpcc7942_1521
Q31N14	Synpcc7942_1525	Synpcc7942_1525
Q31N13	Synpcc7942_1526	Synpcc7942_1526
Q31N12	Synpcc7942_1527	Synpcc7942_1527
Q31N10	Synpcc7942_1529	Synpcc7942_1529
Q31N06	Synpcc7942_1533	Synpcc7942_1533
Q31N05	Synpcc7942_1534	Synpcc7942_1534
Q31N03	Synpcc7942_1536	Synpcc7942_1536
Q31MZ3	Synpcc7942_1546	Synpcc7942_1546
Q31MZ1	Synpcc7942_1548	Synpcc7942_1548
Q31MY8	Synpcc7942_1551	Synpcc7942_1551
Q31MY3	Synpcc7942_1556	Synpcc7942_1556
Q31MY2	Synpcc7942_1557	Synpcc7942_1557
Q31MX8	Synpcc7942_1561	Synpcc7942_1561
Q31MX7	Synpcc7942_1562	Synpcc7942_1562
Q31MX4	Synpcc7942_1565	Synpcc7942_1565
Q31MX3	Synpcc7942_1566	Synpcc7942_1566
Q31MW7	Synpcc7942_1572	Synpcc7942_1572
Q31MW5	Synpcc7942_1574	Synpcc7942_1574
Q31MW0	Synpcc7942_1579	Synpcc7942_1579
Q8KPU0	Synpcc7942_1584	Synpcc7942_1584
Q31MV0	Synpcc7942_1589	Synpcc7942_1589
Q54764	Synpcc7942_1593	Synpcc7942_1593
Q54767	Synpcc7942_1596	Synpcc7942_1596
Q31MT9	Synpcc7942_1600	Synpcc7942_1600
Q31MT7	Synpcc7942_1602	Synpcc7942_1602
Q31MT6	Synpcc7942_1603	Synpcc7942_1603
Q31MT5	Synpcc7942_1604	Synpcc7942_1604
Q31MT3	Synpcc7942_1606	Synpcc7942_1606
Q31MT1	Synpcc7942_1608	Synpcc7942_1608
Q31MT0	Synpcc7942_1609	Synpcc7942_1609
Q31MS9	Synpcc7942_1610	Synpcc7942_1610
Q31MS7	Synpcc7942_1612	Synpcc7942_1612
Q31MS6	Synpcc7942_1613	Synpcc7942_1613
Q31MS3	Synpcc7942_1616	Synpcc7942_1616
Q31MS2	Synpcc7942_1617	Synpcc7942_1617
Q31MS1	Synpcc7942_1618	Synpcc7942_1618
Q31MS0	Synpcc7942_1619	Synpcc7942_1619
Q31MR9	Synpcc7942_1620	Synpcc7942_1620
Q31MR8	Synpcc7942_1621	Synpcc7942_1621
Q31MR7	Synpcc7942_1622	Synpcc7942_1622
Q31MR5	Synpcc7942_1624	Synpcc7942_1624
Q31MR4	Synpcc7942_1625	Synpcc7942_1625
Q31MR3	Synpcc7942_1626	Synpcc7942_1626
Q31MQ7	Synpcc7942_1632	Synpcc7942_1632
Q31MQ6	Synpcc7942_1633	Synpcc7942_1633
Q31MQ5	Synpcc7942_1634	Synpcc7942_1634
Q31MQ4	Synpcc7942_1635	Synpcc7942_1635
Q31MQ3	Synpcc7942_1636	Synpcc7942_1636
Q31MQ1	Synpcc7942_1638	Synpcc7942_1638
Q31MQ0	Synpcc7942_1639	Synpcc7942_1639
Q31MP6	Synpcc7942_1643	Synpcc7942_1643
Q31MP3	Synpcc7942_1646	Synpcc7942_1646
Q31MP2	Synpcc7942_1647	Synpcc7942_1647
Q31MP0	Synpcc7942_1649	Synpcc7942_1649
Q31MN9	Synpcc7942_1650	Synpcc7942_1650
Q31MN6	Synpcc7942_1653	Synpcc7942_1653
Q31MN0	Synpcc7942_1659	Synpcc7942_1659
Q31MM8	Synpcc7942_1661	Synpcc7942_1661
Q31MM6	Synpcc7942_1663	Synpcc7942_1663
Q31MM5	Synpcc7942_1664	Synpcc7942_1664
Q31MM4	Synpcc7942_1665	Synpcc7942_1665
Q31ML7	Synpcc7942_1672	Synpcc7942_1672
Q31ML5	Synpcc7942_1674	Synpcc7942_1674
Q31ML3	Synpcc7942_1676	Synpcc7942_1676
Q31ML1	Synpcc7942_1678	Synpcc7942_1678
Q31MK3	Synpcc7942_1686	Synpcc7942_1686
Q31MJ7	Synpcc7942_1692	Synpcc7942_1692
Q31MJ5	Synpcc7942_1694	Synpcc7942_1694
Q31MJ4	Synpcc7942_1695	Synpcc7942_1695
Q31MJ3	Synpcc7942_1696	Synpcc7942_1696
Q31MI9	Synpcc7942_1700	Synpcc7942_1700
Q31MI8	Synpcc7942_1701	Synpcc7942_1701
Q31MI6	Synpcc7942_1703	Synpcc7942_1703
Q31MH8	Synpcc7942_1711	Synpcc7942_1711
Q31MH1	Synpcc7942_1718	Synpcc7942_1718
Q31MH0	Synpcc7942_1719	Synpcc7942_1719
Q31MG8	Synpcc7942_1721	Synpcc7942_1721
Q31MG6	Synpcc7942_1723	Synpcc7942_1723
Q31MF9	Synpcc7942_1730	Synpcc7942_1730
Q31MF7	Synpcc7942_1732	Synpcc7942_1732
Q31MF6	Synpcc7942_1733	Synpcc7942_1733
Q31MF5	Synpcc7942_1734	Synpcc7942_1734
Q31MF4	Synpcc7942_1735	Synpcc7942_1735
Q31MF3	Synpcc7942_1736	Synpcc7942_1736
Q31MF2	Synpcc7942_1737	Synpcc7942_1737
Q31MF1	Synpcc7942_1738	Synpcc7942_1738
Q31ME5	Synpcc7942_1744	Synpcc7942_1744
Q31ME2	Synpcc7942_1747	Synpcc7942_1747
Q31ME1	Synpcc7942_1748	Synpcc7942_1748
Q31MD9	Synpcc7942_1750	Synpcc7942_1750
Q31MD7	Synpcc7942_1752	Synpcc7942_1752
Q31MC9	Synpcc7942_1760	Synpcc7942_1760
Q31MC8	Synpcc7942_1761	Synpcc7942_1761
Q31MC7	Synpcc7942_1762	Synpcc7942_1762
Q31MC6	Synpcc7942_1763	Synpcc7942_1763
Q31MC0	Synpcc7942_1769	Synpcc7942_1769
Q31MB6	Synpcc7942_1773	Synpcc7942_1773
Q31MB4	Synpcc7942_1775	Synpcc7942_1775
Q31MB3	Synpcc7942_1776	Synpcc7942_1776
Q31MB1	Synpcc7942_1778	Synpcc7942_1778
Q31MA9	Synpcc7942_1780	Synpcc7942_1780
Q31MA8	Synpcc7942_1781	Synpcc7942_1781
Q31MA7	Synpcc7942_1782	Synpcc7942_1782
Q31MA5	Synpcc7942_1784	Synpcc7942_1784
Q31MA3	Synpcc7942_1786	Synpcc7942_1786
Q31MA2	Synpcc7942_1787	Synpcc7942_1787
Q31MA0	Synpcc7942_1789	Synpcc7942_1789
Q31M98	Synpcc7942_1791	Synpcc7942_1791
Q31M96	Synpcc7942_1793	Synpcc7942_1793
Q31M95	Synpcc7942_1794	Synpcc7942_1794
Q31M93	Synpcc7942_1796	Synpcc7942_1796
Q31M89	Synpcc7942_1800	Synpcc7942_1800
Q31M88	Synpcc7942_1801	Synpcc7942_1801
Q31M86	Synpcc7942_1803	Synpcc7942_1803
Q31M83	Synpcc7942_1806	Synpcc7942_1806
