Entry	Entry.Name	Gene.Names	Cross-reference	Gene.Names2	Gene.Names3
Q0P3I9	Q0P3I9_OSTTA	OtMtg00020	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00020	
S5PVQ0	S5PVQ0_OSTTA	psbN OtCpg00190	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		psbN
A0A1Y5IB74	A0A1Y5IB74_OSTTA	GATB BE221DRAFT_191756 BE221DRAFT_194596	KZ155832;KZ155781;		GATB
A0A1Y5ICG7	A0A1Y5ICG7_OSTTA	BE221DRAFT_47893 BE221DRAFT_59662	KZ155797;KZ155788;		
Q3B9U5	Q3B9U5_OSTTA	OT_ostta18g01230	AY954735;CAID01000018;		
S5M2P1	S5M2P1_OSTTA	OtMtg00290	KC967298;KC967302;KC967304;KC967306;		
A0A454XL94	A0A454XL94_OSTTA	BE221DRAFT_173442 BE221DRAFT_83392	KZ155822;KZ155820;		
Q0P3I0	Q0P3I0_OSTTA	OtMtg00110	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00110	
A0A454XTV1	A0A454XTV1_OSTTA	BE221DRAFT_208394 BE221DRAFT_82877 BE221DRAFT_83228 BE221DRAFT_83389	KZ155823;KZ155822;KZ155821;KZ155820;		
S5M4B6	S5M4B6_OSTTA	OtMtg00220 OtMtg00420	KC967298;KC967298;KC967302;KC967302;KC967304;KC967304;KC967306;KC967306;		
A0A1Y5I2L7	A0A1Y5I2L7_OSTTA	BE221DRAFT_207974 BE221DRAFT_208647	KZ155835;KZ155834;		
S5MGE9	S5MGE9_OSTTA	OtMtg00330	KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;		
A0A454XKV3	A0A454XKV3_OSTTA	BE221DRAFT_193830 BE221DRAFT_195309	KZ155825;KZ155787;		
A0A454XSG1	A0A454XSG1_OSTTA	BE221DRAFT_208392 BE221DRAFT_208735 BE221DRAFT_82859 BE221DRAFT_83202 BE221DRAFT_83399	KZ155824;KZ155823;KZ155822;KZ155821;KZ155820;		
A0A454XR93	A0A454XR93_OSTTA	BE221DRAFT_82575 BE221DRAFT_82880 BE221DRAFT_83246	KZ155823;KZ155821;KZ155820;		
A0A1Y5IF50	A0A1Y5IF50_OSTTA	BE221DRAFT_17592 BE221DRAFT_204312	KZ155794;KZ155776;		
